contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
vMAG_75|N=2|L=12581	12781	No	NA	12	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_90|N=2|L=20051	20251	No	NA	30	11	5	Low-quality	Genome-fragment	34.11	AAI-based (high-confidence)	0.0	1.0	
vMAG_57|N=2|L=17181	17381	No	NA	31	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_62|N=3|L=23376	23776	No	NA	37	15	0	Medium-quality	Genome-fragment	71.97	AAI-based (medium-confidence)	0.0	1.0	
vMAG_31|N=3|L=33248	33648	No	NA	27	0	15	Medium-quality	Genome-fragment	81.0	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
vMAG_11|N=2|L=14560	14760	No	NA	11	1	7	Low-quality	Genome-fragment	16.32	HMM-based (lower-bound)	0.0	1.0	
vMAG_79|N=4|L=86450	87050	Yes	44107	96	6	14	Low-quality	Genome-fragment	31.6	HMM-based (lower-bound)	49.33	1.0	
vMAG_27|N=4|L=30045	30645	No	NA	36	2	5	Low-quality	Genome-fragment	27.48	AAI-based (high-confidence)	0.0	1.0	
vMAG_49|N=4|L=28591	29191	No	NA	31	12	0	Low-quality	Genome-fragment	9.87	HMM-based (lower-bound)	0.0	1.0	
vMAG_102|N=2|L=11658	11858	No	NA	13	4	0	Low-quality	Genome-fragment	4.43	AAI-based (medium-confidence)	0.0	1.0	
vMAG_42|N=7|L=55630	56830	No	NA	46	22	0	Low-quality	Genome-fragment	21.06	AAI-based (medium-confidence)	0.0	1.0	
vMAG_21|N=2|L=12469	12669	No	NA	12	0	8	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_104|N=2|L=12102	12302	No	NA	16	11	0	Low-quality	Genome-fragment	33.16	AAI-based (medium-confidence)	0.0	1.0	
vMAG_52|N=2|L=12008	12208	No	NA	16	12	0	Low-quality	Genome-fragment	29.17	AAI-based (medium-confidence)	0.0	1.0	
vMAG_43|N=3|L=19662	20062	No	NA	28	1	2	Low-quality	Genome-fragment	13.87	HMM-based (lower-bound)	0.0	1.0	
vMAG_26|N=2|L=12915	13115	No	NA	7	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_23|N=4|L=32222	32822	No	NA	30	0	7	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_80|N=4|L=24155	24755	No	NA	24	3	0	Low-quality	Genome-fragment	8.92	HMM-based (lower-bound)	0.0	1.0	
vMAG_67|N=3|L=54860	55260	No	NA	36	1	0	Low-quality	Genome-fragment	30.99	AAI-based (high-confidence)	0.0	1.0	
vMAG_3|N=11|L=83252	85252	No	NA	78	3	24	Medium-quality	Genome-fragment	61.94	HMM-based (lower-bound)	0.0	1.0	
vMAG_39|N=2|L=22730	22930	No	NA	13	3	0	Low-quality	Genome-fragment	7.93	HMM-based (lower-bound)	0.0	1.0	
vMAG_24|N=2|L=13689	13889	No	NA	18	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_34|N=2|L=13227	13427	No	NA	11	8	0	Low-quality	Genome-fragment	21.05	AAI-based (medium-confidence)	0.0	1.0	
vMAG_53|N=3|L=18839	19239	No	NA	25	5	0	Low-quality	Genome-fragment	32.81	HMM-based (lower-bound)	0.0	1.0	
vMAG_95|N=2|L=14947	15147	No	NA	23	3	0	Low-quality	Genome-fragment	12.94	AAI-based (medium-confidence)	0.0	1.0	
vMAG_84|N=2|L=12577	12777	No	NA	17	7	0	Low-quality	Genome-fragment	26.75	HMM-based (lower-bound)	0.0	1.0	
vMAG_71|N=2|L=13613	13813	No	NA	13	3	1	Low-quality	Genome-fragment	30.11	AAI-based (high-confidence)	0.0	1.0	
vMAG_9|N=3|L=22654	23054	No	NA	17	0	10	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_100|N=2|L=12559	12759	No	NA	23	5	0	Low-quality	Genome-fragment	13.01	AAI-based (medium-confidence)	0.0	1.0	
vMAG_64|N=2|L=10713	10913	No	NA	9	0	5	Low-quality	Genome-fragment	6.33	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
vMAG_2|N=5|L=36660	37460	Yes	14996	48	3	11	Low-quality	Genome-fragment	13.47	AAI-based (medium-confidence)	59.97	1.0	
vMAG_73|N=11|L=130568	132568	No	NA	122	16	1	Medium-quality	Genome-fragment	57.84	AAI-based (high-confidence)	0.0	1.0	
vMAG_59|N=4|L=33869	34469	No	NA	40	16	2	High-quality	High-quality	93.47	AAI-based (medium-confidence)	0.0	1.0	
vMAG_60|N=2|L=16032	16232	No	NA	16	3	0	Low-quality	Genome-fragment	28.66	AAI-based (high-confidence)	0.0	1.0	
vMAG_7|N=4|L=31435	32035	No	NA	27	1	10	Low-quality	Genome-fragment	8.28	HMM-based (lower-bound)	0.0	1.0	
vMAG_40|N=3|L=42414	42814	No	NA	36	10	0	Low-quality	Genome-fragment	13.24	HMM-based (lower-bound)	0.0	1.0	
vMAG_68|N=3|L=19395	19795	No	NA	31	3	0	Medium-quality	Genome-fragment	69.82	AAI-based (high-confidence)	0.0	1.0	
vMAG_87|N=2|L=10157	10357	No	NA	9	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_77|N=2|L=16288	16488	No	NA	20	16	0	Low-quality	Genome-fragment	35.01	AAI-based (medium-confidence)	0.0	1.0	
vMAG_55|N=2|L=16170	16370	No	NA	24	2	2	Low-quality	Genome-fragment	25.18	AAI-based (high-confidence)	0.0	1.0	
vMAG_16|N=2|L=33727	33927	No	NA	39	1	16	Low-quality	Genome-fragment	15.29	HMM-based (lower-bound)	0.0	1.0	
vMAG_22|N=2|L=18584	18784	No	NA	22	3	3	Low-quality	Genome-fragment	27.58	HMM-based (lower-bound)	0.0	1.0	
vMAG_96|N=2|L=28232	28432	No	NA	40	5	2	Medium-quality	Genome-fragment	61.22	AAI-based (medium-confidence)	0.0	1.0	
vMAG_33|N=3|L=33229	33629	Yes	18977	37	12	12	Low-quality	Genome-fragment	29.07	HMM-based (lower-bound)	43.57	1.0	
vMAG_17|N=8|L=55379	56779	Yes	47545	81	6	5	Low-quality	Genome-fragment	37.98	AAI-based (medium-confidence)	16.26	1.0	
vMAG_44|N=2|L=11920	12120	No	NA	12	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_81|N=2|L=12186	12386	No	NA	19	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
vMAG_38|N=2|L=11581	11781	No	NA	20	5	0	Low-quality	Genome-fragment	10.52	AAI-based (medium-confidence)	0.0	1.0	
vMAG_98|N=3|L=26645	27045	No	NA	39	21	1	Medium-quality	Genome-fragment	74.69	AAI-based (medium-confidence)	0.0	1.0	
vMAG_46|N=8|L=64667	66067	No	NA	74	20	2	Medium-quality	Genome-fragment	60.51	AAI-based (medium-confidence)	0.0	1.0	
vMAG_91|N=2|L=13340	13540	Yes	2404	16	3	4	Low-quality	Genome-fragment	4.58	HMM-based (lower-bound)	82.25	1.0	
vMAG_58|N=4|L=74073	74673	No	NA	89	24	2	Medium-quality	Genome-fragment	88.05	HMM-based (lower-bound)	0.0	1.0	
vMAG_56|N=5|L=40992	41792	Yes	39269	53	14	2	Medium-quality	Genome-fragment	68.4	AAI-based (high-confidence)	6.04	1.0	
vMAG_99|N=3|L=23303	23703	No	NA	37	3	0	Low-quality	Genome-fragment	18.07	HMM-based (lower-bound)	0.0	1.0	
